vigencia,CODIGO DANE,MPIO.,ESTRATO,Mes,Usuario
2018,41524,PALERMO,Industrial,ABRIL,0
2018,41524,PALERMO,Industrial,MAYO,0
2018,41524,PALERMO,Industrial,JUNIO,0
2018,41524,PALERMO,Industrial,JULIO,0
2018,41524,PALERMO,Industrial,AGOSTO,0
2018,41524,PALERMO,Industrial,SEPTIEMBRE,0
2018,41524,PALERMO,Industrial,OCTUBRE,0
2018,41524,PALERMO,Industrial,NOVIEMBRE,0
2018,41524,PALERMO,Industrial,DICIEMBRE,0
2018,41791,TARQUI,Industrial,ENERO,0
2018,41791,TARQUI,Industrial,FEBRERO,0
2018,41791,TARQUI,Industrial,MARZO,0
2018,41791,TARQUI,Industrial,ABRIL,0
2018,41791,TARQUI,Industrial,MAYO,0
2018,41791,TARQUI,Industrial,JUNIO,0
2018,41791,TARQUI,Industrial,JULIO,0
2018,41791,TARQUI,Industrial,AGOSTO,0
2018,41791,TARQUI,Industrial,SEPTIEMBRE,0
2018,41791,TARQUI,Industrial,OCTUBRE,0
2018,41791,TARQUI,Industrial,NOVIEMBRE,0
2018,41791,TARQUI,Industrial,DICIEMBRE,0
2018,41799,TELLO,Industrial,ENERO,0
2018,41799,TELLO,Industrial,FEBRERO,0
2018,41799,TELLO,Industrial,MARZO,0
2018,41799,TELLO,Industrial,ABRIL,0
2018,41799,TELLO,Industrial,MAYO,0
2018,41799,TELLO,Industrial,JUNIO,0
2018,41799,TELLO,Industrial,JULIO,0
2018,41799,TELLO,Industrial,AGOSTO,0
2018,41799,TELLO,Industrial,SEPTIEMBRE,0
2018,41799,TELLO,Industrial,OCTUBRE,0
2018,41799,TELLO,Industrial,NOVIEMBRE,0
2018,41799,TELLO,Industrial,DICIEMBRE,0
2018,41801,TERUEL,Industrial,ENERO,0
2018,41801,TERUEL,Industrial,FEBRERO,0
2018,41801,TERUEL,Industrial,MARZO,0
2018,41801,TERUEL,Industrial,ABRIL,0
2018,41801,TERUEL,Industrial,MAYO,0
2018,41801,TERUEL,Industrial,JUNIO,0
2018,41801,TERUEL,Industrial,JULIO,0
2018,41801,TERUEL,Industrial,AGOSTO,0
2018,41801,TERUEL,Industrial,SEPTIEMBRE,0
2018,41801,TERUEL,Industrial,OCTUBRE,0
2018,41801,TERUEL,Industrial,NOVIEMBRE,0
2018,41801,TERUEL,Industrial,DICIEMBRE,0
2018,41797,TESALIA,Industrial,ENERO,0
2018,41797,TESALIA,Industrial,FEBRERO,0
2018,41797,TESALIA,Industrial,MARZO,0
2018,41797,TESALIA,Industrial,ABRIL,0
2018,41797,TESALIA,Industrial,MAYO,0
2018,41797,TESALIA,Industrial,JUNIO,0
2018,41797,TESALIA,Industrial,JULIO,0
2018,41797,TESALIA,Industrial,AGOSTO,0
2018,41797,TESALIA,Industrial,SEPTIEMBRE,0
2018,41797,TESALIA,Industrial,OCTUBRE,0
2018,41797,TESALIA,Industrial,NOVIEMBRE,0
2018,41797,TESALIA,Industrial,DICIEMBRE,0
2018,41872,VILLAVIEJA,Industrial,ENERO,0
2018,41872,VILLAVIEJA,Industrial,FEBRERO,0
2018,41872,VILLAVIEJA,Industrial,MARZO,0
2018,41872,VILLAVIEJA,Industrial,ABRIL,0
2018,41872,VILLAVIEJA,Industrial,MAYO,0
2018,41872,VILLAVIEJA,Industrial,JUNIO,0
2018,41872,VILLAVIEJA,Industrial,JULIO,0
2018,41872,VILLAVIEJA,Industrial,AGOSTO,0
2018,41872,VILLAVIEJA,Industrial,SEPTIEMBRE,0
2018,41872,VILLAVIEJA,Industrial,OCTUBRE,0
2018,41872,VILLAVIEJA,Industrial,NOVIEMBRE,0
2018,41872,VILLAVIEJA,Industrial,DICIEMBRE,0
2018,41885,YAGUARA,Industrial,ENERO,0
2018,41885,YAGUARA,Industrial,FEBRERO,0
2018,41885,YAGUARA,Industrial,MARZO,0
2018,41885,YAGUARA,Industrial,ABRIL,0
2018,41885,YAGUARA,Industrial,MAYO,0
2018,41885,YAGUARA,Industrial,JUNIO,0
2018,41885,YAGUARA,Industrial,JULIO,0
2018,41885,YAGUARA,Industrial,AGOSTO,0
2018,41885,YAGUARA,Industrial,SEPTIEMBRE,0
2018,41885,YAGUARA,Industrial,OCTUBRE,0
2018,41885,YAGUARA,Industrial,NOVIEMBRE,0
2018,41885,YAGUARA,Industrial,DICIEMBRE,0
2017,41016,AIPE,Industrial,ENERO,0
2017,41016,AIPE,Industrial,FEBRERO,0
2017,41016,AIPE,Industrial,MARZO,0
2017,41016,AIPE,Industrial,ABRIL,0
2017,41016,AIPE,Industrial,MAYO,0
2017,41016,AIPE,Industrial,JUNIO,0
2017,41016,AIPE,Industrial,JULIO,0
2017,41016,AIPE,Industrial,AGOSTO,0
2017,41016,AIPE,Industrial,SEPTIEMBRE,0
2017,41016,AIPE,Industrial,OCTUBRE,0
2017,41016,AIPE,Industrial,NOVIEMBRE,0
2017,41016,AIPE,Industrial,DICIEMBRE,0
2017,41020,ALGECIRAS,Industrial,ENERO,0
2017,41020,ALGECIRAS,Industrial,FEBRERO,0
2017,41020,ALGECIRAS,Industrial,MARZO,0
2017,41020,ALGECIRAS,Industrial,ABRIL,0
2017,41020,ALGECIRAS,Industrial,MAYO,0
2017,41020,ALGECIRAS,Industrial,JUNIO,0
2017,41020,ALGECIRAS,Industrial,JULIO,0
2017,41020,ALGECIRAS,Industrial,AGOSTO,0
2017,41020,ALGECIRAS,Industrial,SEPTIEMBRE,0
2017,41020,ALGECIRAS,Industrial,OCTUBRE,0
2017,41020,ALGECIRAS,Industrial,NOVIEMBRE,0
2017,41020,ALGECIRAS,Industrial,DICIEMBRE,0
2017,41078,BARAYA,Industrial,ENERO,0
2017,41078,BARAYA,Industrial,FEBRERO,0
2017,41078,BARAYA,Industrial,MARZO,0
2017,41078,BARAYA,Industrial,ABRIL,0
2017,41078,BARAYA,Industrial,MAYO,0
2017,41078,BARAYA,Industrial,JUNIO,0
2017,41078,BARAYA,Industrial,JULIO,0
2017,41078,BARAYA,Industrial,AGOSTO,0
2017,41078,BARAYA,Industrial,SEPTIEMBRE,0
2017,41078,BARAYA,Industrial,OCTUBRE,0
2017,41078,BARAYA,Industrial,NOVIEMBRE,0
2017,41078,BARAYA,Industrial,DICIEMBRE,0
2017,41298,GARZON,Industrial,ENERO,0
2017,41298,GARZON,Industrial,FEBRERO,0
2017,41298,GARZON,Industrial,MARZO,0
2017,41298,GARZON,Industrial,ABRIL,0
2017,41298,GARZON,Industrial,MAYO,0
2017,41298,GARZON,Industrial,JUNIO,0
2017,41298,GARZON,Industrial,JULIO,0
2017,41298,GARZON,Industrial,AGOSTO,0
2017,41298,GARZON,Industrial,SEPTIEMBRE,0
2017,41298,GARZON,Industrial,OCTUBRE,0
2017,41298,GARZON,Industrial,NOVIEMBRE,0
2017,41298,GARZON,Industrial,DICIEMBRE,0
2017,41306,GIGANTE,Industrial,ENERO,0
2017,41306,GIGANTE,Industrial,FEBRERO,0
2017,41306,GIGANTE,Industrial,MARZO,0
2017,41306,GIGANTE,Industrial,ABRIL,0
2017,41306,GIGANTE,Industrial,MAYO,0
2017,41306,GIGANTE,Industrial,JUNIO,0
2017,41306,GIGANTE,Industrial,JULIO,0
2017,41306,GIGANTE,Industrial,AGOSTO,0
2017,41306,GIGANTE,Industrial,SEPTIEMBRE,0
2017,41306,GIGANTE,Industrial,OCTUBRE,0
2017,41306,GIGANTE,Industrial,NOVIEMBRE,0
2017,41306,GIGANTE,Industrial,DICIEMBRE,0
2017,41349,HOBO,Industrial,ENERO,0
2017,41349,HOBO,Industrial,FEBRERO,0
2017,41349,HOBO,Industrial,MARZO,0
2017,41349,HOBO,Industrial,ABRIL,0
2017,41349,HOBO,Industrial,MAYO,0
2017,41349,HOBO,Industrial,JUNIO,0
2017,41349,HOBO,Industrial,JULIO,0
2017,41349,HOBO,Industrial,AGOSTO,0
2017,41349,HOBO,Industrial,SEPTIEMBRE,0
2017,41349,HOBO,Industrial,OCTUBRE,0
2017,41349,HOBO,Industrial,NOVIEMBRE,0
2017,41349,HOBO,Industrial,DICIEMBRE,0
2017,41396,LA PLATA,Industrial,ENERO,0
2017,41396,LA PLATA,Industrial,FEBRERO,0
2017,41396,LA PLATA,Industrial,MARZO,0
2017,41396,LA PLATA,Industrial,ABRIL,0
2017,41396,LA PLATA,Industrial,MAYO,0
2017,41396,LA PLATA,Industrial,JUNIO,0
2017,41396,LA PLATA,Industrial,JULIO,0
2017,41396,LA PLATA,Industrial,AGOSTO,0
2017,41396,LA PLATA,Industrial,SEPTIEMBRE,0
2017,41396,LA PLATA,Industrial,OCTUBRE,0
2017,41396,LA PLATA,Industrial,NOVIEMBRE,0
2017,41396,LA PLATA,Industrial,DICIEMBRE,0
2017,41518,PAICOL,Industrial,ENERO,0
2017,41518,PAICOL,Industrial,FEBRERO,0
